Crash ID,Road User,Gender,Age,Age Group
20202103,Pedestrian,Male,31,26_to_39
20201135,Driver,Male,47,40_to_64
20203056,Driver,Female,58,40_to_64
20201203,Driver,Male,45,40_to_64
20207016,Other/-9,Male,68,65_to_74
20205104,Passenger,Female,25,17_to_25
20202086,Motorcycle rider,Male,24,17_to_25
20205101,Motorcycle rider,Male,66,65_to_74
20203186,Driver,Male,40,40_to_64
20203038,Driver,Male,32,26_to_39
20202020,Motorcycle rider,Male,33,26_to_39
20204048,Driver,Male,47,40_to_64
20204001,Passenger,Male,19,17_to_25
20201012,Motorcycle pillion passenger,Female,41,40_to_64
20205077,Driver,Male,66,65_to_74
20203111,Driver,Male,36,26_to_39
20201204,Driver,Male,90,75_or_older
20202141,Passenger,Male,-9,-9
20204061,Passenger,Female,2,0_to_16
20204065,Motorcycle rider,Male,18,17_to_25
20202096,Driver,Male,30,26_to_39
20208004,Passenger,Female,71,65_to_74
20207014,Driver,Male,24,17_to_25
20203115,Driver,Female,23,17_to_25
20203019,Driver,Male,26,26_to_39
20203193,Passenger,Female,14,0_to_16
20203193,Passenger,Female,14,0_to_16
20203193,Passenger,Male,13,0_to_16
20205092,Driver,Male,29,26_to_39
20203085,Pedestrian,Male,93,75_or_older
20205069,Driver,Male,18,17_to_25
20207020,Pedal cyclist,Male,34,26_to_39
20203050,Driver,Male,54,40_to_64
20201018,Pedal cyclist,Male,45,40_to_64
20201160,Motorcycle rider,Male,87,75_or_older
20201061,Motorcycle rider,Male,56,40_to_64
20202052,Driver,Male,81,75_or_older
20202052,Passenger,Female,81,75_or_older
20202113,Passenger,Male,77,75_or_older
20202003,Passenger,Female,55,40_to_64
20203178,Passenger,Female,0,0_to_16
20203069,Motorcycle rider,Male,57,40_to_64
20203150,Passenger,Female,21,17_to_25
20203150,Driver,Male,24,17_to_25
20203197,Motorcycle rider,Male,25,17_to_25
20205036,Driver,Male,25,17_to_25
20203099,Passenger,Male,19,17_to_25
20205037,Pedestrian,Male,27,26_to_39
20205006,Driver,Male,18,17_to_25
20202026,Motorcycle rider,Male,30,26_to_39
20203050,Driver,Male,37,26_to_39
20207003,Passenger,Male,8,0_to_16
20201147,Driver,Male,28,26_to_39
20205017,Driver,Female,80,75_or_older
20201050,Driver,Male,101,75_or_older
20205023,Pedal cyclist,Male,16,0_to_16
20201072,Driver,Male,80,75_or_older
20202030,Driver,Male,23,17_to_25
20203195,Motorcycle pillion passenger,Female,29,26_to_39
20201014,Driver,Female,17,17_to_25
20203021,Motorcycle rider,Male,37,26_to_39
20201208,Motorcycle rider,Male,28,26_to_39
20202126,Motorcycle rider,Male,32,26_to_39
20203194,Driver,Male,34,26_to_39
20202115,Passenger,Female,28,26_to_39
20202161,Driver,Male,52,40_to_64
20203168,Pedal cyclist,Female,50,40_to_64
20203199,Driver,Female,74,65_to_74
20201020,Driver,Female,68,65_to_74
20201141,Pedestrian,Male,45,40_to_64
20201103,Pedestrian,Male,62,40_to_64
20203104,Pedestrian,Male,73,65_to_74
20202033,Pedestrian,Male,24,17_to_25
20203159,Pedestrian,Male,92,75_or_older
20203191,Pedestrian,Male,79,75_or_older
20202158,Pedestrian,Male,51,40_to_64
20201148,Pedestrian,Male,72,65_to_74
20201037,Pedestrian,Male,65,65_to_74
20202025,Driver,Male,77,75_or_older
20201076,Passenger,Female,23,17_to_25
20205004,Motorcycle rider,Male,35,26_to_39
20205067,Pedestrian,Female,29,26_to_39
20201238,Driver,Male,36,26_to_39
20201030,Driver,Male,46,40_to_64
20201069,Driver,Male,59,40_to_64
20203086,Pedestrian,Female,59,40_to_64
20202068,Pedestrian,Male,44,40_to_64
20205062,Passenger,Male,7,0_to_16
20205042,Driver,Male,19,17_to_25
20203193,Passenger,Female,17,17_to_25
20203152,Passenger,Female,17,17_to_25
20203152,Driver,Male,21,17_to_25
20202113,Driver,Male,64,40_to_64
20201150,Driver,Female,80,75_or_older
20204051,Motorcycle rider,Male,31,26_to_39
20201065,Driver,Male,34,26_to_39
20202015,Motorcycle rider,Male,60,40_to_64
20201193,Driver,Female,77,75_or_older
20202043,Driver,Male,91,75_or_older
20201206,Motorcycle rider,Male,13,0_to_16
20205062,Passenger,Female,10,0_to_16
20204055,Motorcycle rider,Male,19,17_to_25
20202088,Driver,Female,30,26_to_39
20203072,Driver,Male,27,26_to_39
20201165,Driver,Male,70,65_to_74
